Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_SPH_OUTR_15_INR_11_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.992395,0.086913,2,-11.31996,126.261528,3,2,0,2,0,0
H_SPH_OUTR_15_INR_12_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.904018,0.294731,2,-2.738542,5.505759,3,2,0,2,0,0
H_SPH_OUTR_15_INR_13_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_15_INR_14_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_15_INR_2_DT_JSW_B1.LOG,1,6.982123,0.132542,7,-7.270969,50.895435,2,6.982123,0.132542,7,-7.270969,50.895435,3,6.982123,0.132542,7,-7.270969,50.895435
H_SPH_OUTR_15_INR_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5.920993,0.269825,6,-3.118725,7.730808,3,5.920993,0.269825,6,-3.118725,7.730808
H_SPH_OUTR_15_INR_4_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5.920635,0.270384,6,-3.109619,7.674086,3,5.920635,0.270384,6,-3.109619,7.674086
H_SPH_OUTR_15_INR_5_DT_JSW_B1.LOG,1,4.815205,0.388245,5,-1.622791,0.633823,2,4.815205,0.388245,5,-1.622791,0.633823,3,4.815205,0.388245,5,-1.622791,0.633823
H_SPH_OUTR_15_INR_6_DT_JSW_B1.LOG,1,4.627798,0.778606,5,-1.61167,0.597833,2,4.813899,0.389303,5,-1.611668,0.597829,3,4.813899,0.389303,5,-1.611668,0.597829
H_SPH_OUTR_15_INR_7_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_15_INR_8_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3.903896,0.294829,4,-2.738084,5.500678,3,3.903896,0.294829,4,-2.738084,5.500678
H_SPH_OUTR_15_INR_9_DT_JSW_B1.LOG,1,2.64622,0.478313,3,-0.610962,-1.627885,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_16_INR_1_DT_JSW_B1.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
H_SPH_OUTR_16_INR_10_DT_JSW_B1.LOG,1,2.975278,0.155324,3,-6.116037,35.427807,2,2.975278,0.155324,3,-6.116037,35.427807,3,3,0,3,0,0
