Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_CYL_OUTR_16_INR_11_LEN_192.LOG,1,1,0,1,0,0,2,2.832465,0.373463,3,-1.780349,1.169708,3,2.832465,0.373463,3,-1.780349,1.169708
H_CYL_OUTR_16_INR_11_LEN_2.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_CYL_OUTR_16_INR_11_LEN_22.LOG,1,1,0,1,0,0,2,2.825758,0.379408,3,-1.716377,0.946398,3,2.825758,0.379408,3,-1.716377,0.946398
H_CYL_OUTR_16_INR_11_LEN_32.LOG,1,1,0,1,0,0,2,2.828125,0.377333,3,-1.738613,1.023108,3,2.828125,0.377333,3,-1.738613,1.023108
H_CYL_OUTR_16_INR_11_LEN_42.LOG,1,1,0,1,0,0,2,2.829365,0.376236,3,-1.750407,1.064189,3,2.829365,0.376236,3,-1.750407,1.064189
H_CYL_OUTR_16_INR_11_LEN_52.LOG,1,1,0,1,0,0,2,2.830128,0.375558,3,-1.757717,1.089786,3,2.830128,0.375558,3,-1.757717,1.089786
H_CYL_OUTR_16_INR_11_LEN_62.LOG,1,1,0,1,0,0,2,2.830645,0.375097,3,-1.76269,1.107264,3,2.830645,0.375097,3,-1.76269,1.107264
H_CYL_OUTR_16_INR_11_LEN_72.LOG,1,1,0,1,0,0,2,2.831018,0.374763,3,-1.766294,1.119957,3,2.831018,0.374763,3,-1.766294,1.119957
H_CYL_OUTR_16_INR_11_LEN_82.LOG,1,1,0,1,0,0,2,2.831301,0.37451,3,-1.769025,1.129593,3,2.831301,0.37451,3,-1.769025,1.129593
H_CYL_OUTR_16_INR_11_LEN_92.LOG,1,1,0,1,0,0,2,2.831522,0.374312,3,-1.771167,1.137162,3,2.831522,0.374312,3,-1.771167,1.137162
H_CYL_OUTR_16_INR_6_LEN_102.LOG,1,4.9986,0.037399,5,-26.662283,708.918518,2,4.9986,0.037399,5,-26.662283,708.918518,3,4.9986,0.037399,5,-26.662283,708.918518
